Reporting starts,Reporting ends,Campaign name,Amount spent (BRL),Impressions,Reach,Frequency,Link clicks,Cost per link click (BRL),CTR (link click-through rate),"CPM (cost per 1,000 impressions)",Adds to cart,Checkouts initiated,Purchases,Purchases conversion value,Website purchase ROAS (return on ad spend)
2026-07-01,2026-07-01,Relógios — sempre ativo,"256,62",13505,11743,"1,15",141,"1,82","1,04%","19,00",17,7,4,"794,12","3,09"
2026-07-02,2026-07-02,Relógios — sempre ativo,"247,58",13137,11133,"1,18",112,"2,21","0,85%","18,85",14,6,3,"595,59","2,41"
2026-07-03,2026-07-03,Relógios — sempre ativo,"227,71",12533,10358,"1,21",134,"1,70","1,07%","18,17",15,8,4,"794,12","3,49"
2026-07-04,2026-07-04,Relógios — sempre ativo,"255,30",12945,10440,"1,24",132,"1,93","1,02%","19,72",14,6,3,"595,59","2,33"
2026-07-05,2026-07-05,Relógios — sempre ativo,"222,08",11984,9436,"1,27",107,"2,08","0,89%","18,53",14,7,3,"595,59","2,68"
2026-07-06,2026-07-06,Relógios — sempre ativo,"248,29",11520,8862,"1,30",102,"2,43","0,89%","21,55",12,6,4,"794,12","3,20"
2026-07-07,2026-07-07,Relógios — sempre ativo,"229,15",10830,8143,"1,33",102,"2,25","0,94%","21,16",14,8,3,"595,59","2,60"
2026-07-08,2026-07-08,Relógios — sempre ativo,"240,55",12400,9118,"1,36",92,"2,61","0,74%","19,40",10,4,2,"397,06","1,65"
2026-07-09,2026-07-09,Relógios — sempre ativo,"245,59",11352,8167,"1,39",115,"2,14","1,01%","21,63",11,5,2,"397,06","1,62"
2026-07-10,2026-07-10,Relógios — sempre ativo,"266,21",14187,9991,"1,42",116,"2,29","0,82%","18,76",10,4,2,"397,06","1,49"
2026-07-11,2026-07-11,Relógios — sempre ativo,"256,14",13087,9026,"1,45",143,"1,79","1,09%","19,57",14,6,4,"794,12","3,10"
2026-07-12,2026-07-12,Relógios — sempre ativo,"249,59",13509,9128,"1,48",130,"1,92","0,96%","18,48",14,6,3,"595,59","2,39"
2026-07-13,2026-07-13,Relógios — sempre ativo,"255,47",13042,8637,"1,51",117,"2,18","0,90%","19,59",13,2,1,"198,53","0,78"
2026-07-14,2026-07-14,Relógios — sempre ativo,"245,93",13835,8984,"1,54",170,"1,45","1,23%","17,78",15,2,1,"198,53","0,81"
2026-07-15,2026-07-15,Relógios — sempre ativo,"257,78",12564,8003,"1,57",130,"1,98","1,03%","20,52",12,1,1,"198,53","0,77"
2026-07-16,2026-07-16,Relógios — sempre ativo,"235,61",12620,7888,"1,60",132,"1,78","1,05%","18,67",13,2,1,"198,53","0,84"
2026-07-17,2026-07-17,Relógios — sempre ativo,"266,68",13924,8542,"1,63",130,"2,05","0,93%","19,15",17,2,1,"198,53","0,74"
2026-07-18,2026-07-18,Relógios — sempre ativo,"259,73",11067,6667,"1,66",114,"2,28","1,03%","23,47",13,2,1,"198,53","0,76"
2026-07-19,2026-07-19,Relógios — sempre ativo,"238,77",12042,7125,"1,69",121,"1,97","1,00%","19,83",14,2,1,"198,53","0,83"
2026-07-20,2026-07-20,Relógios — sempre ativo,"224,43",11610,6750,"1,72",166,"1,35","1,43%","19,33",16,2,1,"198,53","0,88"
2026-07-21,2026-07-21,Relógios — sempre ativo,"251,20",14042,8024,"1,75",137,"1,83","0,98%","17,89",20,2,1,"198,53","0,79"
2026-07-22,2026-07-22,Relógios — sempre ativo,"235,32",13861,7787,"1,78",151,"1,56","1,09%","16,98",16,3,2,"397,06","1,69"
2026-07-23,2026-07-23,Relógios — sempre ativo,"260,92",13525,7472,"1,81",156,"1,67","1,15%","19,29",16,2,1,"198,53","0,76"
2026-07-24,2026-07-24,Relógios — sempre ativo,"256,34",14878,8086,"1,84",142,"1,81","0,95%","17,23",15,2,2,"397,06","1,55"
2026-07-25,2026-07-25,Relógios — sempre ativo,"264,07",14224,7606,"1,87",138,"1,91","0,97%","18,57",15,2,1,"198,53","0,75"
2026-07-26,2026-07-26,Relógios — sempre ativo,"252,16",12394,6523,"1,90",102,"2,47","0,82%","20,35",11,1,1,"198,53","0,79"
2026-07-27,2026-07-27,Relógios — sempre ativo,"256,09",12011,6223,"1,93",154,"1,66","1,28%","21,32",16,2,1,"198,53","0,78"
2026-07-28,2026-07-28,Relógios — sempre ativo,"253,57",14326,7309,"1,96",150,"1,69","1,05%","17,70",21,2,1,"198,53","0,78"
2026-07-29,2026-07-29,Relógios — sempre ativo,"243,26",11628,5843,"1,99",111,"2,19","0,95%","20,92",11,1,0,"0,00","0,00"
2026-07-30,2026-07-30,Relógios — sempre ativo,"246,88",12376,6127,"2,02",157,"1,57","1,27%","19,95",14,2,1,"198,53","0,80"
